Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
417,0.0042,0.0000,0.9756,0.9796,0.0000,0.9610,0.9801
418,0.0045,0.0000,0.9668,0.9772,0.0001,0.9418,0.9700
419,0.0046,0.0000,0.9668,0.9687,0.0001,0.9532,0.9761
420,0.0043,0.0000,0.9601,0.9638,0.0001,0.9438,0.9711
421,0.0046,0.0000,0.9503,0.9442,0.0001,0.9548,0.9769
422,0.0035,0.0000,0.9753,0.9880,0.0000,0.9567,0.9779
423,0.0040,0.0000,0.9517,0.9692,0.0001,0.9362,0.9671
424,0.0039,0.0000,0.9745,0.9692,0.0000,0.9522,0.9755
425,0.0041,0.0000,0.9590,0.9572,0.0001,0.9497,0.9742
426,0.0046,0.0000,0.9563,0.9568,0.0001,0.9442,0.9713
427,0.0043,0.0000,0.9695,0.9796,0.0000,0.9477,0.9731
428,0.0046,0.0000,0.9621,0.9564,0.0001,0.9469,0.9727
429,0.0045,0.0000,0.9578,0.9486,0.0001,0.9369,0.9674
430,0.0042,0.0000,0.9581,0.9514,0.0001,0.9488,0.9737
431,0.0043,0.0000,0.9632,0.9582,0.0001,0.9476,0.9731
432,0.0040,0.0000,0.9590,0.9558,0.0001,0.9661,0.9828
433,0.0042,0.0000,0.9693,0.9751,0.0001,0.9487,0.9737
434,0.0045,0.0000,0.9741,0.9805,0.0001,0.9506,0.9747
435,0.0036,0.0000,0.9647,0.9780,0.0000,0.9513,0.9751
436,0.0049,0.0000,0.9653,0.9570,0.0001,0.9395,0.9688
437,0.0042,0.0000,0.9694,0.9688,0.0001,0.9602,0.9797
438,0.0037,0.0000,0.9668,0.9846,0.0000,0.9465,0.9725
439,0.0043,0.0000,0.9675,0.9745,0.0001,0.9493,0.9740
440,0.0033,0.0000,0.9674,0.9851,0.0000,0.9404,0.9693
441,0.0036,0.0000,0.9733,0.9835,0.0000,0.9574,0.9783
442,0.0038,0.0000,0.9694,0.9725,0.0000,0.9578,0.9784
443,0.0037,0.0000,0.9787,0.9855,0.0001,0.9619,0.9806
444,0.0035,0.0000,0.9524,0.9657,0.0000,0.9405,0.9693
445,0.0040,0.0000,0.9743,0.9812,0.0000,0.9571,0.9781
446,0.0035,0.0000,0.9469,0.9758,0.0000,0.9406,0.9694
447,0.0040,0.0000,0.9732,0.9820,0.0000,0.9477,0.9731
448,0.0038,0.0000,0.9740,0.9819,0.0001,0.9596,0.9794
449,0.0042,0.0000,0.9546,0.9519,0.0001,0.9503,0.9745
450,0.0036,0.0000,0.9803,0.9955,0.0000,0.9615,0.9804
451,0.0041,0.0000,0.9707,0.9832,0.0000,0.9550,0.9770
